back_angle_R,back_angle_L,knee_angle_R,knee_angle_L,ankle_knee_knee_R,ankle_knee_knee_L,hip_hip_knee_R,hip_hip_knee_L,knee_knee_dis
164.4,157.8,178.8,172.9,90.0,89.9,91.5,96.7,1.2
164.6,157.5,178.8,172.8,90.1,89.8,91.4,96.9,1.2
164.7,157.2,179.0,172.9,90.5,89.7,91.2,97.1,1.2
164.9,156.8,179.1,172.9,90.7,89.7,91.0,97.4,1.2
165.2,156.4,179.3,172.8,91.0,89.6,90.8,97.7,1.2
165.2,156.8,179.5,173.4,91.5,89.6,90.7,97.5,1.2
165.2,157.3,179.8,174.1,91.9,89.9,90.7,97.1,1.2
165.2,157.8,179.7,174.5,92.2,90.1,90.8,96.7,1.1
165.3,158.1,179.4,174.6,92.6,90.1,90.7,96.7,1.1
165.3,158.2,179.2,174.7,92.7,90.1,90.7,96.6,1.1
165.4,158.3,178.9,174.6,92.8,90.2,90.6,96.6,1.1
165.5,158.3,178.7,174.7,92.9,90.1,90.5,96.6,1.1
165.5,158.4,178.6,174.6,93.0,90.1,90.5,96.6,1.1
165.5,158.3,178.6,174.6,93.0,90.1,90.5,96.6,1.1
165.5,158.3,178.6,174.5,93.0,90.1,90.5,96.6,1.1
165.5,158.3,178.5,174.5,93.2,90.0,90.5,96.6,1.1
165.5,158.3,178.5,174.5,93.2,89.9,90.6,96.6,1.1
165.4,158.3,178.6,174.5,93.2,89.9,90.6,96.6,1.1
165.3,158.4,178.6,174.6,93.3,89.9,90.7,96.6,1.1
165.3,158.5,178.7,174.6,93.3,89.9,90.7,96.5,1.1
165.3,158.6,178.7,174.8,93.2,90.0,90.6,96.4,1.1
165.1,158.8,178.7,175.0,93.2,90.1,90.7,96.2,1.1
165.0,159.0,178.7,175.3,93.1,90.3,90.7,96.1,1.1
165.0,159.0,178.8,175.4,93.0,90.5,90.7,96.1,1.1
165.0,158.9,178.9,175.4,92.8,90.6,90.6,96.2,1.1
165.0,158.9,179.1,175.5,92.6,90.9,90.7,96.3,1.1
164.9,158.8,179.5,175.7,92.3,91.1,90.9,96.3,1.1
164.8,158.7,179.9,175.7,92.0,91.2,91.0,96.3,1.1
164.7,158.6,179.8,175.8,91.7,91.6,91.3,96.4,1.1
164.7,158.5,179.5,176.0,91.4,91.9,91.5,96.4,1.2
164.7,158.4,179.2,176.1,91.3,92.0,91.7,96.3,1.2
164.5,158.4,178.9,176.1,91.2,92.1,92.1,96.2,1.2
164.3,158.3,178.4,176.1,90.8,92.2,92.3,96.2,1.2
164.3,158.3,178.4,176.2,90.9,92.3,92.3,96.2,1.2
164.3,158.4,178.4,176.5,90.8,92.5,92.3,96.1,1.2
164.5,158.4,178.6,176.7,90.7,92.8,92.2,95.9,1.2
164.6,158.5,178.7,176.8,90.7,92.9,92.3,95.8,1.2
164.6,158.5,178.8,176.8,90.6,93.0,92.3,95.8,1.2
164.7,158.4,179.1,176.9,90.8,93.2,92.2,95.8,1.2
164.7,158.4,179.3,176.8,90.9,93.2,92.2,95.9,1.2
164.7,158.3,179.3,176.8,90.9,93.3,91.9,96.1,1.2
164.8,158.3,179.7,177.2,91.0,93.8,91.9,96.0,1.2
164.7,158.4,179.9,177.9,91.2,94.3,91.9,95.8,1.2
